Node	Time	Technology	Cost
1	1	Power_Grid	3.54
1	2	Power_Grid	3.46
1	3	Power_Grid	4.28
2	1	Power_Grid	4.82
2	2	Power_Grid	3.59
2	3	Power_Grid	3.59
3	1	Power_Grid	5.09
3	2	Power_Grid	10.13
3	3	Power_Grid	12.01
4	1	Power_Grid	14.41
4	2	Power_Grid	21.22
4	3	Power_Grid	21.63
5	1	Power_Grid	21.01
5	2	Power_Grid	21.0
5	3	Power_Grid	20.98
6	1	Power_Grid	21.43
6	2	Power_Grid	19.79
6	3	Power_Grid	18.02
7	1	Power_Grid	13.82
7	2	Power_Grid	11.63
7	3	Power_Grid	11.12
8	1	Power_Grid	10.4
8	2	Power_Grid	5.17
8	3	Power_Grid	4.88
9	1	Power_Grid	2.8320000000000003
9	2	Power_Grid	2.7680000000000002
9	3	Power_Grid	3.4240000000000004
10	1	Power_Grid	3.8560000000000003
10	2	Power_Grid	2.872
10	3	Power_Grid	2.872
11	1	Power_Grid	4.072
11	2	Power_Grid	8.104000000000001
11	3	Power_Grid	9.608
12	1	Power_Grid	11.528
12	2	Power_Grid	16.976
12	3	Power_Grid	17.304
13	1	Power_Grid	16.808000000000003
13	2	Power_Grid	16.8
13	3	Power_Grid	16.784000000000002
14	1	Power_Grid	17.144000000000002
14	2	Power_Grid	15.832
14	3	Power_Grid	14.416
1	1	ElectricBoiler	0.0
1	2	ElectricBoiler	0.0
1	3	ElectricBoiler	0.0
2	1	ElectricBoiler	0.0
2	2	ElectricBoiler	0.0
2	3	ElectricBoiler	0.0
3	1	ElectricBoiler	0.0
3	2	ElectricBoiler	0.0
3	3	ElectricBoiler	0.0
4	1	ElectricBoiler	0.0
4	2	ElectricBoiler	0.0
4	3	ElectricBoiler	0.0
5	1	ElectricBoiler	0.0
5	2	ElectricBoiler	0.0
5	3	ElectricBoiler	0.0
6	1	ElectricBoiler	0.0
6	2	ElectricBoiler	0.0
6	3	ElectricBoiler	0.0
7	1	ElectricBoiler	0.0
7	2	ElectricBoiler	0.0
7	3	ElectricBoiler	0.0
8	1	ElectricBoiler	0.0
8	2	ElectricBoiler	0.0
8	3	ElectricBoiler	0.0
9	1	ElectricBoiler	0.0
9	2	ElectricBoiler	0.0
9	3	ElectricBoiler	0.0
10	1	ElectricBoiler	0.0
10	2	ElectricBoiler	0.0
10	3	ElectricBoiler	0.0
11	1	ElectricBoiler	0.0
11	2	ElectricBoiler	0.0
11	3	ElectricBoiler	0.0
12	1	ElectricBoiler	0.0
12	2	ElectricBoiler	0.0
12	3	ElectricBoiler	0.0
13	1	ElectricBoiler	0.0
13	2	ElectricBoiler	0.0
